path,mean_mfcc,std_mfcc,maxv_mfcc,minv_mfcc,median_mfcc,skew_mfcc,kurt_mfcc,q1_mfcc,q3_mfcc,mode_mfcc,iqr_mfcc,source,class
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_mood_fear.wav,-22.2674,93.165764,132.7742,-579.0625,-6.1612787,-3.586265,12.515507,-16.811645030975342,5.845708727836609,-407.23236,22.65735375881195,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_mouse_fear.wav,-20.919334,94.2907,162.50159,-646.9552,-3.1517644,-3.6082118,12.636881,-17.002885341644287,9.76352310180664,-410.54367,26.766408443450928,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_ton_fear.wav,-21.614372,98.081726,127.85636,-678.15137,-3.837697,-3.6281831,12.755856,-16.03725242614746,8.875224828720093,-419.9703,24.912477254867554,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_rain_fear.wav,-22.216383,98.06623,166.84851,-686.2542,-3.937777,-3.580939,12.508698,-18.829736709594727,8.952691316604614,-426.33405,27.78242802619934,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_third_fear.wav,-21.282436,94.92862,152.78967,-588.7918,-3.2146173,-3.6060436,12.595505,-16.35182285308838,7.951936960220337,-414.1834,24.303759813308716,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_thin_fear.wav,-21.892616,98.29286,149.98114,-715.56274,-3.0890512,-3.7123907,13.070012,-15.141216278076172,8.29750680923462,-429.19797,23.43872308731079,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_bean_fear.wav,-21.671474,113.278656,149.96588,-727.2598,-0.6766311,-3.7636003,13.31811,-13.73226261138916,11.831201076507568,-491.3764,25.56346368789673,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_half_fear.wav,-20.417458,90.82911,139.54807,-546.10333,-3.118823,-3.4618492,12.076316,-15.254427909851074,7.976154565811157,-392.9366,23.23058247566223,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_king_fear.wav,-21.464178,103.586365,150.92044,-697.2479,-2.3413732,-3.6599133,12.81457,-15.73175835609436,11.35786771774292,-447.354,27.08962607383728,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_hall_fear.wav,-21.218182,92.056526,128.85931,-660.15515,-4.6568813,-3.534059,12.236441,-17.19239568710327,8.49813723564148,-398.436,25.69053292274475,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_dead_fear.wav,-23.067556,103.99904,124.26015,-705.9042,-3.7229922,-3.7023892,13.019714,-16.497944355010986,8.671190738677979,-451.62848,25.169135093688965,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_pike_fear.wav,-21.091871,102.28518,136.00336,-684.7047,-1.4859897,-3.6229324,12.759943,-15.318315029144287,10.27287244796753,-438.9171,25.591187477111816,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_match_fear.wav,-21.55643,100.9511,161.2097,-678.2899,-2.3329494,-3.6177042,12.737954,-14.348966121673584,8.850819826126099,-436.95493,23.199785947799683,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_team_fear.wav,-22.269924,99.97669,144.69878,-670.2739,-2.8902974,-3.7386384,13.160772,-16.06299591064453,8.524236679077148,-437.12726,24.58723258972168,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_chalk_fear.wav,-22.283188,104.49637,128.10384,-728.57996,-2.5535233,-3.6540098,12.836977,-15.10721731185913,9.845916032791138,-451.7368,24.95313334465027,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_such_fear.wav,-20.136168,88.47416,114.510666,-640.78204,-1.242212,-3.671988,12.835393,-13.93120813369751,8.375182151794434,-386.37708,22.306390285491943,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_which_fear.wav,-20.655327,102.36735,157.4743,-689.85065,-1.3843735,-3.644624,12.807132,-13.162752151489258,9.401329040527344,-443.2275,22.5640811920166,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_sheep_fear.wav,-20.65827,99.333206,137.86392,-678.8778,0.14323302,-3.7231164,13.089714,-13.263684749603271,9.067917585372925,-431.26938,22.331602334976196,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_keg_fear.wav,-21.375708,95.82757,120.22341,-639.504,-2.7152379,-3.6549618,12.790597,-15.055879592895508,6.894940376281738,-412.5676,21.950819969177246,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_wife_fear.wav,-21.346428,93.34907,108.40407,-611.6371,-2.5645013,-3.6744454,12.857425,-16.013274669647217,8.501368522644043,-408.97787,24.51464319229126,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_voice_fear.wav,-21.57486,100.58507,129.31763,-685.6212,-2.6195679,-3.6924934,13.015192,-14.708276271820068,9.371876001358032,-438.50064,24.0801522731781,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_make_fear.wav,-21.419743,94.50767,153.33661,-648.78644,-4.0966372,-3.660164,12.8653755,-16.42299747467041,8.85590410232544,-411.25266,25.27890157699585,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_numb_fear.wav,-21.621208,98.85229,144.84921,-597.29517,-4.038365,-3.584908,12.545058,-15.749038696289062,7.186289668083191,-428.20178,22.935328364372253,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_sure_fear.wav,-20.09618,90.951195,165.36606,-722.59625,-3.4284196,-3.5623832,12.421597,-15.61991262435913,7.840848207473755,-393.1177,23.460760831832886,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_lot_fear.wav,-22.045095,101.82377,155.54767,-714.59344,-3.498971,-3.5682569,12.539825,-16.234166145324707,8.991831064224243,-440.19833,25.22599720954895,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_vine_fear.wav,-21.465366,99.9925,125.157135,-643.59863,-3.6495457,-3.6224148,12.690142,-15.496562957763672,8.529615879058838,-431.33588,24.02617883682251,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_burn_fear.wav,-21.223013,105.72305,162.33296,-694.9235,-3.1498928,-3.5634363,12.431855,-15.737421751022339,10.619574069976807,-455.83002,26.356995820999146,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_bought_fear.wav,-21.7625,104.61768,164.7719,-697.96826,-3.4715977,-3.565233,12.510626,-15.27103590965271,8.97874116897583,-450.21542,24.24977707862854,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_chain_fear.wav,-20.556505,91.354355,133.14922,-656.49994,-4.14356,-3.638246,12.756535,-16.372800827026367,7.460089445114136,-393.11435,23.832890272140503,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_raise_fear.wav,-21.654911,95.835556,145.3309,-635.5258,-3.8764882,-3.6102748,12.646877,-17.116601943969727,8.274970054626465,-418.03366,25.39157199859619,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_bath_fear.wav,-20.218603,96.11181,148.22343,-663.75085,-2.9802978,-3.4524918,12.063712,-15.833861827850342,8.791895627975464,-405.89215,24.625757455825806,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_kite_fear.wav,-21.43762,104.850525,143.9083,-720.7711,-1.3548248,-3.6412694,12.790444,-15.179170846939087,10.186431407928467,-451.4145,25.365602254867554,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_far_fear.wav,-21.779722,94.95498,172.58316,-664.31793,-3.835308,-3.5794158,12.499498,-15.647314310073853,8.00158405303955,-413.71387,23.648898363113403,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_kill_fear.wav,-21.357279,97.10699,133.93843,-669.7293,-3.3735163,-3.6017263,12.5871105,-15.477017641067505,8.821398735046387,-417.7793,24.29841637611389,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_shack_fear.wav,-20.764088,92.20076,144.21391,-670.2102,-3.670577,-3.5276306,12.3735695,-16.179561138153076,7.185984253883362,-396.82507,23.365545392036438,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_rag_fear.wav,-21.721764,97.08567,157.42044,-615.1459,-4.313199,-3.639226,12.736985,-15.186718225479126,6.666706800460815,-423.26248,21.85342502593994,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_life_fear.wav,-21.05349,98.60273,116.110306,-724.9108,-1.1417418,-3.7102752,13.046929,-14.38681411743164,9.591374397277832,-429.3025,23.978188514709473,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_goose_fear.wav,-21.419403,100.80205,151.89954,-654.2951,-2.2040029,-3.7175732,13.06834,-15.34339165687561,11.871710538864136,-441.28543,27.215102195739746,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_tip_fear.wav,-20.220358,107.64364,120.75679,-687.2262,1.5655255,-3.7052574,13.064209,-12.99195146560669,12.992536067962646,-459.26822,25.984487533569336,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_lose_fear.wav,-21.399525,93.882286,124.85911,-672.97644,-3.2146077,-3.6725283,12.8792515,-15.996545314788818,8.563303709030151,-411.06393,24.55984902381897,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_chief_fear.wav,-21.166283,101.38888,127.47704,-689.6033,-0.7278936,-3.7466443,13.219278,-12.467644453048706,9.407997846603394,-441.8151,21.8756422996521,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_dip_fear.wav,-20.291637,104.910736,144.92209,-693.7269,1.2688509,-3.6426613,12.779064,-13.632529735565186,10.917604923248291,-441.39,24.550134658813477,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_neat_fear.wav,-22.222542,103.07199,131.78398,-686.0032,-1.6903279,-3.7623067,13.265238,-14.940630674362183,9.260573387145996,-449.0709,24.20120406150818,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_gun_fear.wav,-21.769566,103.27085,139.7352,-674.9186,-2.896209,-3.636261,12.763547,-16.18463897705078,9.347365617752075,-443.41415,25.532004594802856,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_pick_fear.wav,-20.85361,101.12087,126.971375,-666.611,-1.5153705,-3.6546626,12.873768,-13.335612535476685,9.55049753189087,-434.25983,22.886110067367554,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_merge_fear.wav,-21.588223,102.72388,174.97086,-692.01056,-3.070418,-3.5833356,12.588536,-16.20193910598755,9.226402759552002,-444.53934,25.42834186553955,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_hole_fear.wav,-20.976017,96.10649,151.4862,-643.695,-3.3042421,-3.6103468,12.613957,-14.625572681427002,7.166425704956055,-418.3485,21.791998386383057,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_food_fear.wav,-20.224104,97.82587,126.366394,-655.1652,0.2551911,-3.6854224,12.932984,-15.032729148864746,11.30976676940918,-424.9527,26.342495918273926,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_tape_fear.wav,-20.176794,98.83017,131.71788,-676.0777,-1.2532246,-3.6920755,12.977575,-13.516433954238892,10.343858242034912,-422.80438,23.860292196273804,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_chair_fear.wav,-21.149792,101.77225,157.43686,-701.5125,-1.5803008,-3.5539095,12.477217,-15.056086778640747,8.967270612716675,-436.13773,24.023357391357422,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_met_fear.wav,-22.270222,102.26972,145.87988,-692.40173,-3.1335554,-3.6040087,12.646933,-17.973224639892578,9.125944137573242,-441.1748,27.09916877746582,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_cab_fear.wav,-21.359447,98.29341,140.51129,-703.01624,-3.0314996,-3.5331812,12.308188,-16.70765209197998,8.75070858001709,-417.53943,25.45836067199707,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_page_fear.wav,-21.699137,102.69155,123.17621,-675.18353,-1.7601317,-3.7498808,13.216255,-14.603503704071045,10.385111093521118,-449.4836,24.988614797592163,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_ring_fear.wav,-22.256126,98.912636,138.29962,-690.86926,-4.7244067,-3.6411104,12.782864,-16.4495210647583,7.566350936889648,-430.17184,24.01587200164795,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_luck_fear.wav,-21.388165,99.539024,153.56871,-697.82,-2.6627157,-3.6522577,12.826894,-14.234041452407837,9.339005470275879,-432.5314,23.573046922683716,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_judge_fear.wav,-21.232702,97.40847,124.56702,-695.3868,-2.5482287,-3.6828523,12.9230795,-14.94638180732727,8.63503885269165,-420.12402,23.58142066001892,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_void_fear.wav,-22.039696,97.20775,133.63379,-629.5329,-4.8598347,-3.6485417,12.775659,-15.879215717315674,6.9956430196762085,-425.14032,22.874858736991882,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_hate_fear.wav,-21.24338,98.5769,141.85794,-639.2852,-2.372493,-3.70273,12.993474,-14.600818157196045,9.178447246551514,-430.97418,23.77926540374756,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_wash_fear.wav,-21.285082,91.07735,120.45152,-683.099,-5.051129,-3.567549,12.42023,-16.330402851104736,7.044724345207214,-395.4645,23.37512719631195,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_hush_fear.wav,-20.801035,96.02274,123.1267,-604.98395,-2.498322,-3.6919365,13.004386,-13.638527154922485,7.935234546661377,-421.68524,21.573761701583862,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_lease_fear.wav,-21.135195,94.01703,120.32147,-662.8564,-3.1157756,-3.7213957,13.099432,-14.94931674003601,9.283440828323364,-411.6974,24.232757568359375,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_nag_fear.wav,-22.60787,100.195946,159.66135,-632.6329,-4.296691,-3.6161697,12.656518,-16.721296787261963,7.725399613380432,-436.34955,24.446696400642395,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_good_fear.wav,-22.357803,98.064995,111.06726,-694.47327,-4.9942293,-3.6853645,12.941868,-16.013814449310303,8.066186428070068,-424.32788,24.08000087738037,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_have_fear.wav,-21.357449,92.02272,137.33672,-666.1649,-4.97155,-3.5487049,12.3550205,-15.389593601226807,7.025889039039612,-399.27307,22.41548264026642,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_bite_fear.wav,-21.495338,101.45143,154.24908,-714.274,-3.4253168,-3.6662264,12.887044,-15.505768775939941,8.430737018585205,-439.2117,23.936505794525146,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_thumb_fear.wav,-20.820057,89.81316,133.48251,-643.5061,-2.430853,-3.6382895,12.702163,-15.909570217132568,8.472596406936646,-391.3017,24.382166624069214,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_nice_fear.wav,-21.270658,102.27476,148.47742,-706.6049,-1.5328494,-3.7082543,13.058704,-13.886630773544312,9.776830673217773,-443.00214,23.663461446762085,TESS,fear
